Price,Adj Close,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,,
2024-01-02,183.7313232421875,185.63999938964844,188.44000244140625,183.88999938964844,187.14999389648438,82488700
2024-01-03,182.35562133789062,184.25,185.8800048828125,183.42999267578125,184.22000122070312,58414500
2024-01-04,180.03965759277344,181.91000366210938,183.08999633789062,180.8800048828125,182.14999389648438,71983600
2024-01-05,179.31716918945312,181.17999267578125,182.75999450683594,180.1699981689453,181.99000549316406,62379700
2024-01-08,183.65211486816406,185.55999755859375,185.60000610351562,181.5,182.08999633789062,59144500
2024-01-09,183.23641967773438,185.13999938964844,185.14999389648438,182.72999572753906,183.9199981689453,42841800
2024-01-10,184.27566528320312,186.19000244140625,186.39999389648438,183.9199981689453,184.35000610351562,46792900
2024-01-11,183.6818084716797,185.58999633789062,187.0500030517578,183.6199951171875,186.5399932861328,49128400
2024-01-12,184.00843811035156,185.9199981689453,186.74000549316406,185.19000244140625,186.05999755859375,40477800
2024-01-16,181.74200439453125,183.6300048828125,184.25999450683594,180.92999267578125,182.16000366210938,65603000
2024-01-17,180.80172729492188,182.67999267578125,182.92999267578125,180.3000030517578,181.27000427246094,47317400
2024-01-18,186.69056701660156,188.6300048828125,189.13999938964844,185.8300018310547,186.08999633789062,78005800
2024-01-19,189.5904541015625,191.55999755859375,191.9499969482422,188.82000732421875,189.3300018310547,68903000
2024-01-22,191.89649963378906,193.88999938964844,195.3300018310547,192.25999450683594,192.3000030517578,60133900
2024-01-23,193.1732177734375,195.17999267578125,195.75,193.8300018310547,195.02000427246094,42355600
2024-01-24,192.50022888183594,194.5,196.3800048828125,194.33999633789062,195.4199981689453,53631300
2024-01-25,192.17361450195312,194.1699981689453,196.27000427246094,193.11000061035156,195.22000122070312,54822100
2024-01-26,190.44158935546875,192.4199981689453,194.75999450683594,191.94000244140625,194.27000427246094,44594000
2024-01-29,189.7587127685547,191.72999572753906,192.1999969482422,189.5800018310547,192.00999450683594,47145600
2024-01-30,186.1066436767578,188.0399932861328,191.8000030517578,187.47000122070312,190.94000244140625,55859400
2024-01-31,182.50404357910156,184.39999389648438,187.10000610351562,184.35000610351562,187.0399932861328,55467800
2024-02-01,184.9387664794922,186.86000061035156,186.9499969482422,183.82000732421875,183.99000549316406,64885400
2024-02-02,183.93914794921875,185.85000610351562,187.3300018310547,179.25,179.86000061035156,102551700
2024-02-05,185.75035095214844,187.67999267578125,189.25,185.83999633789062,188.14999389648438,69668800
2024-02-06,187.35365295410156,189.3000030517578,189.30999755859375,186.77000427246094,186.86000061035156,43490800
2024-02-07,187.46255493164062,189.41000366210938,191.0500030517578,188.61000061035156,190.63999938964844,53439000
2024-02-08,186.38375854492188,188.32000732421875,189.5399932861328,187.35000610351562,189.38999938964844,40962000
2024-02-09,187.14682006835938,188.85000610351562,189.99000549316406,188.0,188.64999389648438,45155200
2024-02-12,185.46212768554688,187.14999389648438,188.6699981689453,186.7899932861328,188.4199981689453,41781900
2024-02-13,183.37115478515625,185.0399932861328,186.2100067138672,183.50999450683594,185.77000427246094,56529500
2024-02-14,182.4891815185547,184.14999389648438,185.52999877929688,182.44000244140625,185.32000732421875,54630500
2024-02-15,182.20181274414062,183.86000061035156,184.49000549316406,181.35000610351562,183.5500030517578,65434500
2024-02-16,180.66578674316406,182.30999755859375,184.85000610351562,181.6699981689453,183.4199981689453,49752500
2024-02-20,179.92254638671875,181.55999755859375,182.42999267578125,180.0,181.7899932861328,53665600
2024-02-21,180.67572021484375,182.32000732421875,182.88999938964844,180.66000366210938,181.94000244140625,41371400
2024-02-22,182.70718383789062,184.3699951171875,184.9600067138672,182.4600067138672,183.47999572753906,52292200
2024-02-23,180.8739013671875,182.52000427246094,185.0399932861328,182.22999572753906,185.00999450683594,45119700
2024-02-26,179.52615356445312,181.16000366210938,182.75999450683594,180.64999389648438,182.24000549316406,40867400
2024-02-27,180.98289489746094,182.6300048828125,183.9199981689453,179.55999755859375,181.10000610351562,54318900
2024-02-28,179.7838134765625,181.4199981689453,183.1199951171875,180.1300048828125,182.50999450683594,48953900
2024-02-29,179.11985778808594,180.75,182.57000732421875,179.52999877929688,181.27000427246094,136682600
2024-03-01,178.03968811035156,179.66000366210938,180.52999877929688,177.3800048828125,179.5500030517578,73563100
2024-03-04,173.5207977294922,175.10000610351562,176.89999389648438,173.7899932861328,176.14999389648438,81510100
2024-03-05,168.58570861816406,170.1199951171875,172.0399932861328,169.6199951171875,170.75999450683594,95132400
2024-03-06,167.5947723388672,169.1199951171875,171.24000549316406,168.67999267578125,171.05999755859375,68587700
2024-03-07,167.47581481933594,169.0,170.72999572753906,168.49000549316406,169.14999389648438,71765100
2024-03-08,169.19020080566406,170.72999572753906,173.6999969482422,168.94000244140625,169.0,76267000
2024-03-11,171.19200134277344,172.75,174.3800048828125,172.0500030517578,172.94000244140625,60139500
2024-03-12,171.66769409179688,173.22999572753906,174.02999877929688,171.00999450683594,173.14999389648438,59825400
2024-03-13,169.58663940429688,171.1300048828125,173.19000244140625,170.75999450683594,172.77000427246094,52488700
2024-03-14,171.43975830078125,173.0,174.30999755859375,172.0500030517578,172.91000366210938,72913500
2024-03-15,171.06317138671875,172.6199951171875,172.6199951171875,170.2899932861328,171.1699981689453,121752700
2024-03-18,172.15325927734375,173.72000122070312,177.7100067138672,173.52000427246094,175.57000732421875,75604200
2024-03-19,174.4919891357422,176.0800018310547,176.61000061035156,173.02999877929688,174.33999633789062,55215200
2024-03-20,177.0586395263672,178.6699981689453,178.6699981689453,175.08999633789062,175.72000122070312,53423100
2024-03-21,169.82444763183594,171.3699951171875,177.49000549316406,170.83999633789062,177.0500030517578,106181300
2024-03-22,170.7262420654297,172.27999877929688,173.0500030517578,170.05999755859375,171.75999450683594,71160100
2024-03-25,169.30917358398438,170.85000610351562,171.94000244140625,169.4499969482422,170.57000732421875,54288300
2024-03-26,168.17942810058594,169.7100067138672,171.4199981689453,169.5800018310547,170.0,57388400
2024-03-27,171.74696350097656,173.30999755859375,173.60000610351562,170.11000061035156,170.41000366210938,60273300
2024-03-28,169.93345642089844,171.47999572753906,172.22999572753906,170.50999450683594,171.75,65672700
2024-04-01,168.49652099609375,170.02999877929688,171.25,169.47999572753906,171.19000244140625,46240500
2024-04-02,167.3172607421875,168.83999633789062,169.33999633789062,168.22999572753906,169.0800018310547,49329500
2024-04-03,168.11997985839844,169.64999389648438,170.67999267578125,168.5800018310547,168.7899932861328,47691700
2024-04-04,167.29745483398438,168.82000732421875,171.9199981689453,168.82000732421875,170.2899932861328,53704400
2024-04-05,168.05062866210938,169.5800018310547,170.38999938964844,168.9499969482422,169.58999633789062,42104800
2024-04-08,166.93080139160156,168.4499969482422,169.1999969482422,168.24000549316406,169.02999877929688,37425500
2024-04-09,168.1397705078125,169.6699981689453,170.0800018310547,168.35000610351562,168.6999969482422,42373800
2024-04-10,166.26683044433594,167.77999877929688,169.08999633789062,167.11000061035156,168.8000030517578,49709300
2024-04-11,173.46136474609375,175.0399932861328,175.4600067138672,168.16000366210938,168.33999633789062,91070300
2024-04-12,174.95773315429688,176.5500030517578,178.36000061035156,174.2100067138672,174.25999450683594,101670900
2024-04-15,171.132568359375,172.69000244140625,176.6300048828125,172.5,175.36000061035156,73531800
2024-04-16,167.8524169921875,169.3800048828125,173.75999450683594,168.27000427246094,171.75,73711200
2024-04-17,166.48484802246094,168.0,170.64999389648438,168.0,169.61000061035156,50901200
2024-04-18,165.5334930419922,167.0399932861328,168.63999938964844,166.5500030517578,168.02999877929688,43122900
2024-04-19,163.51190185546875,165.0,166.39999389648438,164.0800018310547,166.2100067138672,68149400
2024-04-22,164.34432983398438,165.83999633789062,167.25999450683594,164.77000427246094,165.52000427246094,48116400
2024-04-23,165.39476013183594,166.89999389648438,167.0500030517578,164.9199981689453,165.35000610351562,49537800
2024-04-24,167.49566650390625,169.02000427246094,169.3000030517578,166.2100067138672,166.5399932861328,48251800
2024-04-25,168.35780334472656,169.88999938964844,170.61000061035156,168.14999389648438,169.52999877929688,50558300
2024-04-26,167.77313232421875,169.3000030517578,171.33999633789062,169.17999267578125,169.8800048828125,44838400
2024-04-29,171.93524169921875,173.5,176.02999877929688,173.10000610351562,173.3699951171875,68169400
2024-04-30,168.79383850097656,170.3300018310547,174.99000549316406,170.0,173.3300018310547,65934800
2024-05-01,167.77313232421875,169.3000030517578,172.7100067138672,169.11000061035156,169.5800018310547,50383100
2024-05-02,171.469482421875,173.02999877929688,173.4199981689453,170.88999938964844,172.50999450683594,94214900
2024-05-03,181.7261505126953,183.3800048828125,187.0,182.66000366210938,186.64999389648438,163224100
2024-05-06,180.07119750976562,181.7100067138672,184.1999969482422,180.4199981689453,182.35000610351562,78569700
2024-05-07,180.75498962402344,182.39999389648438,184.89999389648438,181.32000732421875,183.4499969482422,77305800
2024-05-08,181.09190368652344,182.74000549316406,183.07000732421875,181.4499969482422,182.85000610351562,45057100
2024-05-09,182.9053955078125,184.57000732421875,184.66000366210938,182.11000061035156,182.55999755859375,48983000
2024-05-10,181.6451416015625,183.0500030517578,185.08999633789062,182.1300048828125,184.89999389648438,50759500
2024-05-13,184.85035705566406,186.27999877929688,187.10000610351562,184.6199951171875,185.44000244140625,72044800
2024-05-14,185.99151611328125,187.42999267578125,188.3000030517578,186.2899932861328,187.50999450683594,52393600
2024-05-15,188.2639617919922,189.72000122070312,190.64999389648438,187.3699951171875,187.91000366210938,70400000
2024-05-16,188.38302612304688,189.83999633789062,191.10000610351562,189.66000366210938,190.47000122070312,52845200
2024-05-17,188.41278076171875,189.8699951171875,190.80999755859375,189.17999267578125,189.50999450683594,41282900
2024-05-20,189.57383728027344,191.0399932861328,191.9199981689453,189.00999450683594,189.3300018310547,44361300
2024-05-21,190.87379455566406,192.35000610351562,192.72999572753906,190.9199981689453,191.08999633789062,42309400
2024-05-22,189.43487548828125,190.89999389648438,192.82000732421875,190.27000427246094,192.27000427246094,34648500
2024-05-23,185.44577026367188,186.8800048828125,191.0,186.6300048828125,190.97999572753906,51005900
2024-05-24,188.52195739746094,189.97999572753906,190.5800018310547,188.0399932861328,188.82000732421875,36327000
2024-05-28,188.5319061279297,189.99000549316406,193.0,189.10000610351562,191.50999450683594,52280100
2024-05-29,188.82957458496094,190.2899932861328,192.25,189.50999450683594,189.61000061035156,53068000
2024-05-30,189.82191467285156,191.2899932861328,192.17999267578125,190.6300048828125,190.75999450683594,49889100
2024-05-31,190.77455139160156,192.25,192.57000732421875,189.91000366210938,191.44000244140625,75158300
2024-06-03,192.5408935546875,194.02999877929688,194.99000549316406,192.52000427246094,192.89999389648438,50080500
2024-06-04,192.8584442138672,194.35000610351562,195.32000732421875,193.02999877929688,194.63999938964844,47471400
2024-06-05,194.36676025390625,195.8699951171875,196.89999389648438,194.8699951171875,195.39999389648438,54156800
2024-06-06,192.9874267578125,194.47999572753906,196.5,194.1699981689453,195.69000244140625,41181800
2024-06-07,195.37892150878906,196.88999938964844,196.94000244140625,194.13999938964844,194.64999389648438,53103900
2024-06-10,191.63784790039062,193.1199951171875,197.3000030517578,192.14999389648438,196.89999389648438,97010200
2024-06-11,205.5601806640625,207.14999389648438,207.16000366210938,193.6300048828125,193.64999389648438,172373300
2024-06-12,211.4347686767578,213.07000732421875,220.1999969482422,206.89999389648438,207.3699951171875,198134300
2024-06-13,212.5957794189453,214.24000549316406,216.75,211.60000610351562,214.74000549316406,97862700
2024-06-14,210.85922241210938,212.49000549316406,215.1699981689453,211.3000030517578,213.85000610351562,70122700
2024-06-17,215.0071258544922,216.6699981689453,218.9499969482422,212.72000122070312,213.3699951171875,93728300
2024-06-18,212.64537048339844,214.2899932861328,218.6300048828125,213.0,217.58999633789062,79943300
2024-06-20,208.0707550048828,209.67999267578125,214.24000549316406,208.85000610351562,213.92999267578125,86172500
2024-06-21,205.8975830078125,207.49000549316406,211.88999938964844,207.11000061035156,210.38999938964844,241805100
2024-06-24,206.54258728027344,208.13999938964844,212.6999969482422,206.58999633789062,207.72000122070312,80727000
2024-06-25,207.46546936035156,209.07000732421875,211.3800048828125,208.61000061035156,209.14999389648438,55549700
2024-06-26,211.61337280273438,213.25,214.86000061035156,210.63999938964844,211.5,66213200
2024-06-27,212.4568634033203,214.10000610351562,215.74000549316406,212.35000610351562,214.69000244140625,49772700
2024-06-28,209.00355529785156,210.6199951171875,216.07000732421875,210.3000030517578,215.77000427246094,82542700
2024-07-01,215.08651733398438,216.75,217.50999450683594,211.9199981689453,212.08999633789062,60402900
2024-07-02,218.57952880859375,220.27000427246094,220.3800048828125,215.10000610351562,216.14999389648438,58046200
2024-07-03,219.8496856689453,221.5500030517578,221.5500030517578,219.02999877929688,220.0,37369800
2024-07-05,224.60292053222656,226.33999633789062,226.4499969482422,221.64999389648438,221.64999389648438,60412400
2024-07-08,226.07154846191406,227.82000732421875,227.85000610351562,223.25,227.08999633789062,59085900
2024-07-09,226.92495727539062,228.67999267578125,229.39999389648438,226.3699951171875,227.92999267578125,48076100
2024-07-10,231.19195556640625,232.97999572753906,233.0800018310547,229.25,229.3000030517578,62627700
2024-07-11,225.823486328125,227.57000732421875,232.38999938964844,225.77000427246094,231.38999938964844,64710600
2024-07-12,228.7706756591797,230.5399932861328,232.63999938964844,228.67999267578125,228.9199981689453,53046500
2024-07-15,232.60105895996094,234.39999389648438,237.22999572753906,233.08999633789062,236.47999572753906,62631300
2024-07-16,233.01785278320312,234.82000732421875,236.27000427246094,232.3300018310547,235.0,43234300
2024-07-17,227.1234130859375,228.8800048828125,231.4600067138672,226.63999938964844,229.4499969482422,57345900
2024-07-18,222.45947265625,224.17999267578125,230.44000244140625,222.27000427246094,230.27999877929688,66034600
2024-07-19,222.5885009765625,224.30999755859375,226.8000030517578,223.27999877929688,224.82000732421875,49151500
2024-07-22,222.24119567871094,223.9600067138672,227.77999877929688,223.08999633789062,227.00999450683594,48201800
2024-07-23,223.2831268310547,225.00999450683594,226.94000244140625,222.67999267578125,224.3699951171875,39960300
2024-07-24,216.86277770996094,218.5399932861328,224.8000030517578,217.1300048828125,224.0,61777600
2024-07-25,215.8208465576172,217.49000549316406,220.85000610351562,214.6199951171875,218.92999267578125,51391200
2024-07-26,216.28724670410156,217.9600067138672,219.49000549316406,216.00999450683594,218.6999969482422,41601300
2024-07-29,216.56509399414062,218.24000549316406,219.3000030517578,215.75,216.9600067138672,36311800
2024-07-30,217.12078857421875,218.8000030517578,220.3300018310547,216.1199951171875,219.19000244140625,41643800
2024-07-31,220.37562561035156,222.0800018310547,223.82000732421875,220.6300048828125,221.44000244140625,50036300
2024-08-01,216.6841583251953,218.36000061035156,224.47999572753906,217.02000427246094,224.3699951171875,62501000
2024-08-02,218.1726531982422,219.86000061035156,225.60000610351562,217.7100067138672,219.14999389648438,105568600
2024-08-05,207.6639404296875,209.27000427246094,213.5,196.0,199.08999633789062,119548600
2024-08-06,205.63958740234375,207.22999572753906,209.99000549316406,201.07000732421875,205.3000030517578,69660500
2024-08-07,208.20970153808594,209.82000732421875,213.63999938964844,206.38999938964844,206.89999389648438,63516400
2024-08-08,211.67291259765625,213.30999755859375,214.1999969482422,208.8300018310547,213.11000061035156,47161100
2024-08-09,214.5804443359375,216.24000549316406,216.77999877929688,211.97000122070312,212.10000610351562,42201600
2024-08-12,216.1103973388672,217.52999877929688,219.50999450683594,215.60000610351562,216.07000732421875,38028100
2024-08-13,219.8260040283203,221.27000427246094,221.88999938964844,219.00999450683594,219.00999450683594,44155300
2024-08-14,220.27304077148438,221.72000122070312,223.02999877929688,219.6999969482422,220.57000732421875,41960600
2024-08-15,223.25347900390625,224.72000122070312,225.35000610351562,222.75999450683594,224.60000610351562,46414000
2024-08-16,224.57479858398438,226.0500030517578,226.8300018310547,223.64999389648438,223.9199981689453,44340200
2024-08-19,224.4158477783203,225.88999938964844,225.99000549316406,223.0399932861328,225.72000122070312,40687800
2024-08-20,225.0317840576172,226.50999450683594,227.1699981689453,225.4499969482422,225.77000427246094,30299000
2024-08-21,224.9224853515625,226.39999389648438,227.97999572753906,225.0500030517578,226.52000427246094,34765500
